자치구,읍면동명,행정동코드,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율
종로구,사직동,1111053000,-13.70358878891302,2,0.3386960203217612,1,73.6363636363636,0.187946155415052,0.01111564348358148
종로구,삼청동,1111054000,-71.3953488372093,3,-2.6917900403768504,1,77.1929824561403,0.2316947404606394,0.01065658301821932
종로구,부암동,1111055000,-28.333333333333332,5,4.251386321626617,1,75.547703180212,0.17797348301558114,0.011032613955288881
종로구,평창동,1111056000,-4.272303108662657,4,2.092050209205021,0,71.1335676625659,0.1828651383058874,0.0052201054784199764
종로구,무악동,1111057000,-37.690513219284604,3,-15.185185185185185,4,54.5454545454545,0.16992551210428306,0.013733705772811917
종로구,교남동,1111058000,-17.639111711559572,2,-45.13399153737659,1,65.089722675367,0.1545984577769419,0.015986458529245816
종로구,가회동,1111060000,-57.091409808283025,5,-0.8,1,75.487012987013,0.21208691715708466,0.01244907197827071
종로구,종로1·2·3·4가동,1111061500,-10.256026351250187,4,-3.794240218946321,4,75.5760368663594,0.23567708333333334,0.09102746212121213
종로구,종로5·6가동,1111063000,-64.35455607476635,3,-6.558861578266494,5,87.4135546334716,0.19784299858557283,0.04367043847241867
종로구,이화동,1111064000,-58.991000818107445,5,-11.170212765957446,2,81.5720524017467,0.1744544445814326,0.02626063370731106
종로구,창신1동,1111067000,-60.09920807588548,5,-9.99581764951903,2,91.7743830787309,0.21260898725687458,0.06656606304493629
종로구,창신2동,1111068000,-63.38727385555396,5,-2.1479713603818613,1,87.5109170305677,0.18867725981269073,0.03756708407871199
종로구,창신3동,1111069000,-45.24551503411101,5,4.3478260869565215,2,90.9967845659164,0.17461657520754187,0.0225130153369917
종로구,숭인1동,1111070000,-54.185914579787664,5,-8.78243512974052,2,85.0539291217257,0.19035691922354414,0.03772698810269255
종로구,숭인2동,1111071000,-34.94377034625629,3,-7.305194805194805,3,76.6968325791855,0.16732167419925328,0.03792493613676557
종로구,청운효자동,1111051500,-16.39308541545613,5,0.7142857142857143,1,70.3103913630229,0.17802580543022242,0.010369666745824428
종로구,혜화동,1111065000,-8.776146882831279,5,-5.336426914153132,2,76.9465648854962,0.13768115942028986,0.012212425255903516
중구,소공동,1114052000,-30.28571428571429,0,-8.335317932841152,3,81.413612565445,0.0939887080704085,0.015277316506144138
중구,회현동,1114054000,-49.22164566345441,2,-16.137566137566136,4,90.1705115346038,0.2695848532221643,0.08094493659892305
중구,명동,1114055000,-27.16781035558328,3,-3.1858653311074017,4,85.953488372093,0.21194029850746268,0.02062415196743555
중구,필동,1114057000,-49.943897269667126,4,-13.184828416616496,4,80.5154639175258,0.18279343710559529,0.015986537652503154
중구,장충동,1114058000,-41.746995120790196,5,-10.267857142857142,2,83.5705045278137,0.1547183613752743,0.018105340160936356
중구,광희동,1114059000,-37.332589285714285,3,-18.294573643410853,5,90.266106442577,0.1918640897755611,0.025561097256857856
중구,을지로동,1114060500,-64.76432043965336,2,-12.184664473028219,4,94.2238267148014,0.2669039145907473,0.06354855109303507
중구,신당5동,1114065000,-37.8023881705129,3,-12.01848998459168,1,79.4219653179191,0.16416674335143094,0.030551210085580198
중구,황학동,1114067000,-40.77060045504006,2,-4.365278474661315,3,86.2511457378552,0.14891730101248984,0.029783460202497967
중구,중림동,1114068000,-34.41116405718176,2,-11.233885819521179,4,80.1571709233792,0.16608077493945786,0.03866885399578158
중구,신당동,1114061500,-44.602426396723594,2,-9.341051463008485,4,89.5501730103806,0.1568926123381569,0.03133500163203134
중구,다산동,1114062500,-18.268126020439016,5,-1.4147431124348473,1,73.4285714285714,0.18084889643463498,0.02295415959252971
중구,약수동,1114063500,-30.102418827631293,5,-9.35960591133005,4,70.3962703962704,0.21891206638239022,0.03670623487380431
중구,청구동,1114064500,-19.94806136006764,5,2.4643320363164722,1,86.5116279069767,0.18906239058889435,0.03900287094741264
중구,동화동,1114066500,-27.823849013440093,5,3.271537622682661,1,74.0976645435244,0.1735476124503556,0.012191742865059573
용산구,후암동,1117051000,-30.7426523909056,5,3.9240506329113924,1,78.9805825242719,0.17003625975167563,0.03307328864959894
용산구,용산2가동,1117052000,-55.8892900120337,5,0.37593984962406013,2,84.9869451697128,0.18701206529453512,0.035486160397444996
용산구,남영동,1117053000,-37.75706323275034,5,-7.171775592828225,1,88.4130982367758,0.2023164120256284,0.1484721537703302
용산구,원효로2동,1117057000,-25.744239502158432,5,-13.94658753709199,3,80.4621848739496,0.1688646989044728,0.022538552787663108
용산구,효창동,1117058000,-16.546577457539886,1,-21.651785714285715,5,63.4340222575517,0.1412938214216541,0.008231648266511718
용산구,용문동,1117059000,-26.868995355347714,5,-7.79436152570481,3,69.7084917617237,0.17109594540345244,0.02215977519068647
