기간,자치구,동,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
기간,자치구,동,전체인구,전체인구,전체인구,합계,합계,합계,내국인,내국인,내국인,외국인,외국인,외국인
기간,자치구,동,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2020,합계,합계,"9,911,088","4,816,522","5,094,566","1,568,331","693,259","875,072","1,561,139","689,428","871,711","7,192","3,831","3,361"
2020,종로구,소계,"158,996","76,876","82,120","28,507","12,650","15,857","28,311","12,536","15,775",196,114,82
2020,종로구,사직동,"9,806","4,428","5,378","1,843",793,"1,050","1,829",784,"1,045",14,9,5
2020,종로구,삼청동,"2,909","1,406","1,503",674,292,382,652,277,375,22,15,7
2020,종로구,부암동,"10,333","4,937","5,396","1,839",811,"1,028","1,831",806,"1,025",8,5,3
2020,종로구,평창동,"18,582","8,636","9,946","3,398","1,445","1,953","3,383","1,436","1,947",15,9,6
2020,종로구,무악동,"8,592","3,999","4,593","1,460",622,838,"1,460",622,838,-,-,-
2020,종로구,교남동,"10,634","4,926","5,708","1,644",664,980,"1,637",660,977,7,4,3
2020,종로구,가회동,"4,418","2,052","2,366",937,386,551,932,382,550,5,4,1
2020,종로구,종로1.2.3.4가동,"8,448","4,965","3,483","1,991","1,114",877,"1,955","1,093",862,36,21,15
2020,종로구,종로5·6가동,"5,656","3,072","2,584","1,119",547,572,"1,114",545,569,5,2,3
2020,종로구,이화동,"8,111","3,757","4,354","1,415",595,820,"1,411",593,818,4,2,2
2020,종로구,창신1동,"5,964","3,190","2,774","1,268",630,638,"1,259",627,632,9,3,6
2020,종로구,창신2동,"9,503","4,857","4,646","1,793",783,"1,010","1,763",767,996,30,16,14
2020,종로구,창신3동,"7,107","3,508","3,599","1,241",557,684,"1,239",555,684,2,2,-
2020,종로구,숭인1동,"6,388","3,082","3,306","1,216",527,689,"1,209",523,686,7,4,3
2020,종로구,숭인2동,"10,178","5,070","5,108","1,703",835,868,"1,695",831,864,8,4,4
2020,종로구,청운효자동,"12,633","5,886","6,747","2,249",929,"1,320","2,230",917,"1,313",19,12,7
2020,종로구,혜화동,"19,734","9,105","10,629","2,717","1,120","1,597","2,712","1,118","1,594",5,2,3
2020,중구,소계,"134,635","65,776","68,859","24,495","10,834","13,661","24,174","10,652","13,522",321,182,139
2020,중구,소공동,"3,011","1,556","1,455",283,148,135,247,122,125,36,26,10
2020,중구,회현동,"5,757","3,051","2,706","1,552",800,752,"1,483",759,724,69,41,28
2020,중구,명동,"3,685","1,642","2,043",781,284,497,745,266,479,36,18,18
2020,중구,필동,"4,754","2,419","2,335",869,389,480,864,385,479,5,4,1
2020,중구,장충동,"5,468","2,723","2,745",846,369,477,837,364,473,9,5,4
2020,중구,광희동,"6,416","3,310","3,106","1,231",596,635,"1,199",579,620,32,17,15
2020,중구,을지로동,"1,967","1,173",794,525,301,224,512,294,218,13,7,6
2020,중구,신당5동,"10,867","5,266","5,601","1,784",748,"1,036","1,772",742,"1,030",12,6,6
2020,중구,황학동,"13,531","6,430","7,101","2,015",899,"1,116","1,988",883,"1,105",27,16,11
2020,중구,중림동,"12,801","6,398","6,403","2,126",948,"1,178","2,104",938,"1,166",22,10,12
2020,중구,신당동,"9,191","4,516","4,675","1,442",661,781,"1,416",647,769,26,14,12
2020,중구,다산동,"14,725","7,105","7,620","2,663","1,135","1,528","2,654","1,130","1,524",9,5,4
2020,중구,약수동,"17,354","8,184","9,170","3,799","1,630","2,169","3,783","1,621","2,162",16,9,7
2020,중구,청구동,"14,281","6,776","7,505","2,700","1,107","1,593","2,697","1,105","1,592",3,2,1
2020,중구,동화동,"10,827","5,227","5,600","1,879",819,"1,060","1,873",817,"1,056",6,2,4
2020,용산구,소계,"244,645","118,835","125,810","40,247","17,119","23,128","39,779","16,833","22,946",468,286,182
2020,용산구,후암동,"18,202","8,852","9,350","3,095","1,275","1,820","3,063","1,256","1,807",32,19,13
2020,용산구,용산2가동,"11,272","5,498","5,774","2,108",874,"1,234","2,083",857,"1,226",25,17,8
2020,용산구,남영동,"8,116","4,887","3,229","1,642",964,678,"1,623",956,667,19,8,11
2020,용산구,원효로2동,"14,331","6,732","7,599","2,420","1,011","1,409","2,418","1,011","1,407",2,-,2
2020,용산구,효창동,"10,326","4,894","5,432","1,459",609,850,"1,456",606,850,3,3,-
2020,용산구,용문동,"12,455","5,939","6,516","2,131",879,"1,252","2,127",876,"1,251",4,3,1
2020,용산구,이촌1동,"28,961","13,597","15,364","4,579","1,923","2,656","4,531","1,889","2,642",48,34,14
2020,용산구,이촌2동,"8,808","4,133","4,675","1,793",731,"1,062","1,787",725,"1,062",6,6,-
2020,용산구,이태원1동,"8,764","4,500","4,264","1,627",625,"1,002","1,588",604,984,39,21,18
2020,용산구,이태원2동,"10,795","5,072","5,723","1,916",776,"1,140","1,878",753,"1,125",38,23,15
2020,용산구,서빙고동,"14,000","6,753","7,247","2,113",881,"1,232","2,079",856,"1,223",34,25,9
2020,용산구,보광동,"15,531","7,919","7,612","2,817","1,114","1,703","2,799","1,105","1,694",18,9,9
2020,용산구,청파동,"20,496","9,570","10,926","3,380","1,376","2,004","3,358","1,367","1,991",22,9,13
2020,용산구,원효로1동,"16,730","8,091","8,639","2,006",884,"1,122","1,977",868,"1,109",29,16,13
2020,용산구,한강로동,"22,097","10,736","11,361","3,349","1,564","1,785","3,274","1,520","1,754",75,44,31
2020,용산구,한남동,"23,761","11,662","12,099","3,812","1,633","2,179","3,738","1,584","2,154",74,49,25
2020,성동구,소계,"300,505","146,424","154,081","45,603","19,904","25,699","45,435","19,810","25,625",168,94,74
2020,성동구,왕십리2동,"17,416","8,465","8,951","2,605","1,120","1,485","2,599","1,115","1,484",6,5,1
2020,성동구,마장동,"23,459","11,498","11,961","3,838","1,722","2,116","3,831","1,718","2,113",7,4,3
2020,성동구,사근동,"13,512","6,698","6,814","1,496",641,855,"1,490",638,852,6,3,3
2020,성동구,행당1동,"14,363","6,923","7,440","2,119",940,"1,179","2,118",939,"1,179",1,1,-
2020,성동구,행당2동,"24,151","11,327","12,824","3,762","1,576","2,186","3,760","1,575","2,185",2,1,1
2020,성동구,응봉동,"15,824","7,500","8,324","2,527","1,026","1,501","2,526","1,026","1,500",1,-,1
2020,성동구,금호1가동,"15,795","7,557","8,238","2,595","1,112","1,483","2,589","1,109","1,480",6,3,3
2020,성동구,금호4가동,"14,842","7,104","7,738","2,318",963,"1,355","2,313",961,"1,352",5,2,3
2020,성동구,성수1가1동,"16,851","8,451","8,400","2,195",996,"1,199","2,186",990,"1,196",9,6,3
2020,성동구,성수1가2동,"13,738","6,745","6,993","1,927",874,"1,053","1,920",871,"1,049",7,3,4
2020,성동구,성수2가1동,"17,146","8,925","8,221","2,855","1,308","1,547","2,833","1,294","1,539",22,14,8
2020,성동구,성수2가3동,"11,457","5,833","5,624","1,872",891,981,"1,861",885,976,11,6,5
2020,성동구,송정동,"11,143","5,868","5,275","1,743",812,931,"1,727",803,924,16,9,7
2020,성동구,용답동,"12,724","6,616","6,108","2,144",986,"1,158","2,117",972,"1,145",27,14,13
2020,성동구,왕십리도선동,"27,588","13,126","14,462","3,702","1,602","2,100","3,690","1,597","2,093",12,5,7
2020,성동구,금호2.3가동,"23,584","11,234","12,350","3,888","1,610","2,278","3,879","1,605","2,274",9,5,4
