기간,자치구,동,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
기간,자치구,동,가구,시설,인원,가구,인원,가구,인원,가구,인원,시설,인원
2020,합계,합계,"260,795",598,"370,226","220,330","292,744","34,211","58,481","6,254","8,019",598,"10,982"
2020,본청,본청,-,5,708,-,-,-,-,-,-,5,708
2020,종로구,소계,"3,851",13,"5,232","3,280","3,883",372,522,199,218,13,609
2020,종로구,사직동,109,-,129,102,121,6,7,1,1,-,-
2020,종로구,삼청동,31,-,41,23,26,4,9,4,6,-,-
2020,종로구,부암동,114,-,150,103,131,8,16,3,3,-,-
2020,종로구,평창동,97,-,137,81,108,9,19,7,10,-,-
2020,종로구,무악동,118,-,155,110,147,4,4,4,4,-,-
2020,종로구,교남동,170,-,219,150,193,14,20,6,6,-,-
2020,종로구,가회동,55,-,70,43,57,6,7,6,6,-,-
2020,종로구,종로1.2.3.4가동,769,-,783,645,654,82,86,42,43,-,-
2020,종로구,종로5·6가동,247,-,291,197,228,40,51,10,12,-,-
2020,종로구,이화동,213,-,267,192,241,12,17,9,9,-,-
2020,종로구,창신1동,397,-,454,346,390,35,48,16,16,-,-
2020,종로구,창신2동,357,-,450,295,364,37,60,25,26,-,-
2020,종로구,창신3동,160,-,228,140,199,14,21,6,8,-,-
2020,종로구,숭인1동,241,-,311,199,244,24,47,18,20,-,-
2020,종로구,숭인2동,386,-,424,320,348,42,51,24,25,-,-
2020,종로구,청운효자동,131,-,180,120,159,8,18,3,3,-,-
2020,종로구,혜화동,241,-,319,199,258,27,41,15,20,-,-
2020,종로구,기타,15,13,624,15,15,-,-,-,-,13,609
2020,중구,소계,"4,236",4,"5,299","3,794","4,592",359,494,83,99,4,114
2020,중구,소공동,46,-,46,37,37,9,9,-,-,-,-
2020,중구,회현동,466,-,490,407,428,49,52,10,10,-,-
2020,중구,명동,76,-,81,69,74,6,6,1,1,-,-
2020,중구,필동,76,-,89,69,82,5,5,2,2,-,-
2020,중구,장충동,99,-,124,89,112,5,6,5,6,-,-
2020,중구,광희동,164,-,193,143,172,20,20,1,1,-,-
2020,중구,을지로동,125,-,128,108,111,17,17,-,-,-,-
2020,중구,신당5동,332,-,420,306,387,23,30,3,3,-,-
2020,중구,황학동,403,-,483,358,422,36,51,9,10,-,-
2020,중구,중림동,495,-,604,432,515,56,79,7,10,-,-
2020,중구,신당동,288,-,354,268,317,16,33,4,4,-,-
2020,중구,다산동,338,-,450,299,388,36,57,3,5,-,-
2020,중구,약수동,637,-,826,589,747,39,65,9,14,-,-
2020,중구,청구동,557,-,707,501,635,28,41,28,31,-,-
2020,중구,동화동,132,-,188,118,164,13,22,1,2,-,-
2020,중구,기타,2,4,116,1,1,1,1,-,-,4,114
2020,용산구,소계,"6,219",11,"8,265","5,190","6,589",781,"1,131",248,297,11,248
2020,용산구,후암동,602,-,828,510,673,76,132,16,23,-,-
2020,용산구,용산2가동,400,-,575,331,467,46,78,23,30,-,-
2020,용산구,남영동,"1,205",-,"1,265",979,"1,029",195,204,31,32,-,-
2020,용산구,원효로2동,323,-,435,283,380,28,40,12,15,-,-
2020,용산구,효창동,85,-,126,74,110,9,14,2,2,-,-
2020,용산구,용문동,276,-,370,248,330,16,25,12,15,-,-
2020,용산구,이촌1동,38,-,49,35,45,2,3,1,1,-,-
2020,용산구,이촌2동,116,-,163,106,146,9,16,1,1,-,-
2020,용산구,이태원1동,178,-,227,147,186,23,31,8,10,-,-
2020,용산구,이태원2동,205,-,283,170,228,24,42,11,13,-,-
2020,용산구,서빙고동,231,-,335,193,272,26,49,12,14,-,-
2020,용산구,보광동,739,-,"1,042",609,833,96,171,34,38,-,-
2020,용산구,청파동,749,-,"1,000",607,799,105,159,37,42,-,-
2020,용산구,원효로1동,274,-,346,214,271,43,52,17,23,-,-
2020,용산구,한강로동,340,-,415,295,361,34,38,11,16,-,-
2020,용산구,한남동,456,-,556,387,457,49,77,20,22,-,-
2020,용산구,기타,2,11,250,2,2,-,-,-,-,11,248
2020,성동구,소계,"7,047",11,"9,718","5,739","7,472","1,131","1,909",177,213,11,124
2020,성동구,왕십리2동,374,-,529,297,396,67,116,10,17,-,-
2020,성동구,마장동,526,-,800,432,614,72,160,22,26,-,-
2020,성동구,사근동,178,-,239,138,180,32,50,8,9,-,-
2020,성동구,행당1동,283,-,364,238,303,40,56,5,5,-,-
2020,성동구,행당2동,568,-,819,482,663,75,139,11,17,-,-
2020,성동구,응봉동,137,-,195,122,167,11,24,4,4,-,-
2020,성동구,금호1가동,574,-,765,485,611,72,133,17,21,-,-
