관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11560-00001,신일어린이공원,어린이공원,서울특별시 영등포구 신길1동 455-1,서울특별시 영등포구 신길1동 455-1,37.511852,126.922191,173,헬스형 운동기구 등,조합놀이대,"야외탁자, 평의자 등",,,1940-01-15,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00002,자매근린공원,근린공원,서울특별시 영등포구 의사당대로 166,서울특별시 영등포구 여의동 5-6,37.51662817,126.9290816,16458,게이트볼장,,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00003,문래근린공원,근린공원,서울특별시 영등포구 문래동3가 66,서울특별시 영등포구 문래동3가 66,37.517456,126.894267,23611,"배드민턴장, 게이트볼장",조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00004,신길근린공원,근린공원,서울특별시 영등포구 도림로80길 6,서울특별시 영등포구 신길5동 341-3,37.501712,126.905408,19604,"게이트볼장, 농구장, 배드민턴장",조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00005,당산근린공원,근린공원,서울특별시 영등포구 당산로27길 12,서울특별시 영등포구 당산1동 385,37.52521794,126.895135,11154,배드민턴장,조합놀이대,"음수대, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00006,메낙골근린공원,근린공원,서울특별시 영등포구 신길1동 4934-4,서울특별시 영등포구 신길1동 4934-4,37.506992,126.915244,17229,게이트볼장,,"정자, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3758,2020-09-14
11560-00007,중앙어린이공원,어린이공원,서울특별시 영등포구 영등포로35길 13,서울특별시 영등포구 영등포동 53-1,37.521363,126.9041639,3671,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00008,평화어린이공원,어린이공원,서울특별시 영등포구 63로 45,서울특별시 영등포구 여의동 50-2,37.52135273,126.9373261,4595,농구장,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00009,자유어린이공원,어린이공원,서울특별시 영등포구 63로 45,서울특별시 영등포구 여의동 50-3,37.52135273,126.9373261,5385,헬스형 운동기구 등,조합놀이대,"파고라, 평의자 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
11560-00010,강마을어린이공원,어린이공원,서울특별시 영등포구 당산동6가 10-7,서울특별시 영등포구 당산2동 10-7,37.532972,126.906681,3329,헬스형 운동기구 등,조합놀이대,"파고라, 음수대 등",,,1940-03-12,서울특별시 영등포구청,02-2670-3757,2020-09-14
