gid,lbl,val,geometry,result
다사469469,383.00,383.0,"POLYGON ((946900 1946900, 946900 1947000, 947000 1947000, 947000 1946900, 946900 1946900))",515.375
다사466473,42.00,42.0,"POLYGON ((946600 1947300, 946600 1947400, 946700 1947400, 946700 1947300, 946600 1947300))",472.875
다사471472,28.00,28.0,"POLYGON ((947100 1947200, 947100 1947300, 947200 1947300, 947200 1947200, 947100 1947200))",371.375
다사479468,21.00,21.0,"POLYGON ((947900 1946800, 947900 1946900, 948000 1946900, 948000 1946800, 947900 1946800))",213.0
다사478439,60.00,60.0,"POLYGON ((947800 1943900, 947800 1944000, 947900 1944000, 947900 1943900, 947800 1943900))",181.5
다사480444,692.00,692.0,"POLYGON ((948000 1944400, 948000 1944500, 948100 1944500, 948100 1944400, 948000 1944400))",1028.125
다사502470,624.00,624.0,"POLYGON ((950200 1947000, 950200 1947100, 950300 1947100, 950300 1947000, 950200 1947000))",968.125
다사470447,459.00,459.0,"POLYGON ((947000 1944700, 947000 1944800, 947100 1944800, 947100 1944700, 947000 1944700))",654.125
다사473471,230.00,230.0,"POLYGON ((947300 1947100, 947300 1947200, 947400 1947200, 947400 1947100, 947300 1947100))",402.125
다사454468,787.00,787.0,"POLYGON ((945400 1946800, 945400 1946900, 945500 1946900, 945500 1946800, 945400 1946800))",1141.25
다사453473,246.00,246.0,"POLYGON ((945300 1947300, 945300 1947400, 945400 1947400, 945400 1947300, 945300 1947300))",422.0
다사466477,N/A,0.0,"POLYGON ((946600 1947700, 946600 1947800, 946700 1947800, 946700 1947700, 946600 1947700))",228.0
다사503471,491.00,491.0,"POLYGON ((950300 1947100, 950300 1947200, 950400 1947200, 950400 1947100, 950300 1947100))",639.0
다사468469,N/A,0.0,"POLYGON ((946800 1946900, 946800 1947000, 946900 1947000, 946900 1946900, 946800 1946900))",204.25
다사478452,384.00,384.0,"POLYGON ((947800 1945200, 947800 1945300, 947900 1945300, 947900 1945200, 947800 1945200))",598.75
다사469447,413.00,413.0,"POLYGON ((946900 1944700, 946900 1944800, 947000 1944800, 947000 1944700, 946900 1944700))",662.125
다사487450,466.00,466.0,"POLYGON ((948700 1945000, 948700 1945100, 948800 1945100, 948800 1945000, 948700 1945000))",630.625
다사476448,210.00,210.0,"POLYGON ((947600 1944800, 947600 1944900, 947700 1944900, 947700 1944800, 947600 1944800))",452.0
다사480466,350.00,350.0,"POLYGON ((948000 1946600, 948000 1946700, 948100 1946700, 948100 1946600, 948000 1946600))",594.5
다사466437,220.00,220.0,"POLYGON ((946600 1943700, 946600 1943800, 946700 1943800, 946700 1943700, 946600 1943700))",325.625
다사465446,106.00,106.0,"POLYGON ((946500 1944600, 946500 1944700, 946600 1944700, 946600 1944600, 946500 1944600))",207.875
다사468449,429.00,429.0,"POLYGON ((946800 1944900, 946800 1945000, 946900 1945000, 946900 1944900, 946800 1944900))",630.625
다사474476,643.00,643.0,"POLYGON ((947400 1947600, 947400 1947700, 947500 1947700, 947500 1947600, 947400 1947600))",782.625
다사470460,252.00,252.0,"POLYGON ((947000 1946000, 947000 1946100, 947100 1946100, 947100 1946000, 947000 1946000))",553.875
다사463459,N/A,0.0,"POLYGON ((946300 1945900, 946300 1946000, 946400 1946000, 946400 1945900, 946300 1945900))",72.875
다사456471,774.00,774.0,"POLYGON ((945600 1947100, 945600 1947200, 945700 1947200, 945700 1947100, 945600 1947100))",1093.125
다사475464,6.00,6.0,"POLYGON ((947500 1946400, 947500 1946500, 947600 1946500, 947600 1946400, 947500 1946400))",69.25
다사468465,446.00,446.0,"POLYGON ((946800 1946500, 946800 1946600, 946900 1946600, 946900 1946500, 946800 1946500))",782.5
다사484463,58.00,58.0,"POLYGON ((948400 1946300, 948400 1946400, 948500 1946400, 948500 1946300, 948400 1946300))",345.5
다사496469,N/A,0.0,"POLYGON ((949600 1946900, 949600 1947000, 949700 1947000, 949700 1946900, 949600 1946900))",171.625
다사471441,308.00,308.0,"POLYGON ((947100 1944100, 947100 1944200, 947200 1944200, 947200 1944100, 947100 1944100))",692.0
다사476450,671.00,671.0,"POLYGON ((947600 1945000, 947600 1945100, 947700 1945100, 947700 1945000, 947600 1945000))",1035.875
다사460476,303.00,303.0,"POLYGON ((946000 1947600, 946000 1947700, 946100 1947700, 946100 1947600, 946000 1947600))",517.0
다사472447,177.00,177.0,"POLYGON ((947200 1944700, 947200 1944800, 947300 1944800, 947300 1944700, 947200 1944700))",412.25
다사461467,712.00,712.0,"POLYGON ((946100 1946700, 946100 1946800, 946200 1946800, 946200 1946700, 946100 1946700))",1040.875
다사462462,67.00,67.0,"POLYGON ((946200 1946200, 946200 1946300, 946300 1946300, 946300 1946200, 946200 1946200))",161.25
다사485463,240.00,240.0,"POLYGON ((948500 1946300, 948500 1946400, 948600 1946400, 948600 1946300, 948500 1946300))",592.875
다사467473,397.00,397.0,"POLYGON ((946700 1947300, 946700 1947400, 946800 1947400, 946800 1947300, 946700 1947300))",732.875
다사471456,356.00,356.0,"POLYGON ((947100 1945600, 947100 1945700, 947200 1945700, 947200 1945600, 947100 1945600))",678.25
다사485444,340.00,340.0,"POLYGON ((948500 1944400, 948500 1944500, 948600 1944500, 948600 1944400, 948500 1944400))",504.5
다사476467,212.00,212.0,"POLYGON ((947600 1946700, 947600 1946800, 947700 1946800, 947700 1946700, 947600 1946700))",342.625
다사498471,530.00,530.0,"POLYGON ((949800 1947100, 949800 1947200, 949900 1947200, 949900 1947100, 949800 1947100))",1002.375
다사455471,573.00,573.0,"POLYGON ((945500 1947100, 945500 1947200, 945600 1947200, 945600 1947100, 945500 1947100))",948.625
다사488480,17.00,17.0,"POLYGON ((948800 1948000, 948800 1948100, 948900 1948100, 948900 1948000, 948800 1948000))",90.625
다사460462,866.00,866.0,"POLYGON ((946000 1946200, 946000 1946300, 946100 1946300, 946100 1946200, 946000 1946200))",993.375
다사497473,344.00,344.0,"POLYGON ((949700 1947300, 949700 1947400, 949800 1947400, 949800 1947300, 949700 1947300))",642.0
다사484465,61.00,61.0,"POLYGON ((948400 1946500, 948400 1946600, 948500 1946600, 948500 1946500, 948400 1946500))",256.0
다사474433,12.00,12.0,"POLYGON ((947400 1943300, 947400 1943400, 947500 1943400, 947500 1943300, 947400 1943300))",123.83333333333333
다사463482,693.00,693.0,"POLYGON ((946300 1948200, 946300 1948300, 946400 1948300, 946400 1948200, 946300 1948200))",1137.75
다사482444,390.00,390.0,"POLYGON ((948200 1944400, 948200 1944500, 948300 1944500, 948300 1944400, 948200 1944400))",620.25
다사473432,104.00,104.0,"POLYGON ((947300 1943200, 947300 1943300, 947400 1943300, 947400 1943200, 947300 1943200))",228.57142857142858
다사475460,190.00,190.0,"POLYGON ((947500 1946000, 947500 1946100, 947600 1946100, 947600 1946000, 947500 1946000))",670.25
다사473457,204.00,204.0,"POLYGON ((947300 1945700, 947300 1945800, 947400 1945800, 947400 1945700, 947300 1945700))",519.125
다사465473,703.00,703.0,"POLYGON ((946500 1947300, 946500 1947400, 946600 1947400, 946600 1947300, 946500 1947300))",984.25
다사485447,394.00,394.0,"POLYGON ((948500 1944700, 948500 1944800, 948600 1944800, 948600 1944700, 948500 1944700))",716.875
다사498467,907.00,907.0,"POLYGON ((949800 1946700, 949800 1946800, 949900 1946800, 949900 1946700, 949800 1946700))",1111.625
다사474447,86.00,86.0,"POLYGON ((947400 1944700, 947400 1944800, 947500 1944800, 947500 1944700, 947400 1944700))",277.75
다사461471,21.00,21.0,"POLYGON ((946100 1947100, 946100 1947200, 946200 1947200, 946200 1947100, 946100 1947100))",140.625
다사464449,1092.00,1092.0,"POLYGON ((946400 1944900, 946400 1945000, 946500 1945000, 946500 1944900, 946400 1944900))",1330.375
다사473443,260.00,260.0,"POLYGON ((947300 1944300, 947300 1944400, 947400 1944400, 947400 1944300, 947300 1944300))",517.75
다사470461,N/A,0.0,"POLYGON ((947000 1946100, 947000 1946200, 947100 1946200, 947100 1946100, 947000 1946100))",98.125
